userid,movieid,rating
0,66,3
0,78,4
0,80,5
0,83,3
0,85,5
0,138,5
0,187,4
0,206,3
0,240,5
0,242,3
0,251,3
0,281,3
0,285,4
0,306,4
0,391,5
0,414,3
0,417,3
0,435,5
0,444,3
0,447,3
0,454,2
0,459,4
0,495,4
0,500,5
0,536,3
0,575,4
0,593,3
0,656,5
0,667,4
0,675,4
0,768,3
0,778,5
0,781,5
0,797,4
0,801,5
0,917,3
0,956,3
0,983,3
0,1018,2
0,1116,5
0,1125,4
0,1167,4
0,1308,4
0,1372,3
0,1530,3
0,1752,4
0,1869,3
0,1916,3
0,2004,4
1,13,4
1,14,5
1,44,3
1,60,3
1,67,5
1,77,4
1,92,4
1,95,3
1,103,4
1,151,5
1,169,5
1,180,4
1,236,4
1,239,4
1,334,4
1,347,5
1,373,3
1,394,4
1,525,5
1,530,5
1,590,3
1,596,3
1,597,4
1,614,3
1,620,5
1,764,3
1,783,3
1,795,4
1,821,5
1,861,4
1,940,5
1,1022,4
1,1033,4
1,1067,3
1,1194,5
1,1282,4
1,1299,5
1,1459,5
1,1461,5
1,1661,4
1,1755,4
2,8,3
2,28,4
2,46,4
2,78,5
2,87,4
2,100,3
2,102,5
2,111,5
2,142,4
2,149,4
2,150,5
2,171,5
2,176,3
2,184,5
2,221,4
2,224,4
2,262,3
2,288,4
2,321,4
2,350,3
2,454,2
2,461,5
2,492,3
2,514,5
2,535,4
2,550,3
2,562,4
2,596,4
2,670,4
2,782,4
2,831,4
2,857,4
2,899,4
2,902,3
2,939,2
2,1157,4
2,1169,5
2,1342,3
2,1594,4
2,1733,4
3,15,4
3,16,4
3,21,4
3,62,5
3,72,3
3,129,3
3,156,4
3,196,2
3,362,2
3,365,4
3,396,3
3,419,4
3,514,5
3,526,2
3,559,4
3,567,4
3,591,5
3,611,4
3,638,4
3,649,3
3,711,4
3,714,4
3,735,3
3,768,2
3,788,3
3,795,5
3,819,4
3,851,5
3,912,4
3,916,4
3,950,4
3,987,3
3,1028,3
3,1075,5
3,1294,4
3,1316,2
3,1326,4
3,1481,3
3,1539,3
3,1607,4
3,1634,3
3,1777,3
4,12,4
4,29,5
4,39,3
4,40,3
4,75,5
4,86,5
4,118,5
4,140,5
4,141,3
4,178,5
4,233,4
4,262,4
4,340,5
4,357,4
4,367,5
4,371,4
4,423,5
4,424,4
4,478,3
4,484,5
4,582,3
4,626,5
4,640,5
4,651,3
4,684,5
4,701,4
4,763,5
4,803,5
4,857,4
4,909,3
4,941,3
4,984,3
4,1123,4
4,1173,4
4,1222,5
4,1225,4
4,1256,4
4,1335,5
4,1416,3
4,1506,5
4,1532,4
4,1578,3
4,1678,5
5,23,4
5,67,5
5,127,5
5,162,4
5,180,3
5,197,2
5,241,5
5,253,3
5,300,3
5,305,3
5,310,3
5,320,4
5,326,3
5,344,5
5,507,5
5,520,3
5,588,4
5,617,4
5,641,1
5,657,4
5,660,3
5,662,5
5,706,4
5,747,4
5,758,4
5,803,4
5,807,3
5,925,4
5,931,4
5,1153,4
5,1264,5
5,1292,4
5,1318,2
5,1330,4
5,1365,4
5,1489,2
5,1514,5
5,1671,5
5,1937,4
6,1,4
6,4,5
6,5,5
6,29,5
6,117,3
6,131,4
6,136,5
6,202,4
6,203,3
6,220,5
6,261,4
6,263,3
6,272,5
6,276,4
6,288,3
6,330,3
6,343,3
6,365,4
6,368,4
6,383,5
6,397,4
6,426,4
6,458,4
6,490,3
6,528,4
6,570,4
6,604,5
6,610,5
6,663,5
6,726,5
6,734,5
6,800,5
6,857,4
6,859,4
6,943,4
6,966,3
6,998,4
6,1007,4
6,1030,3
6,1047,4
6,1101,3
6,1181,3
6,1183,4
6,1200,5
6,1238,4
6,1252,5
6,1266,4
6,1604,5
6,1649,5
6,1725,4
6,1949,4
7,79,5
7,198,4
7,221,3
7,250,5
7,326,4
7,351,4
7,427,4
7,455,4
7,480,5
7,495,5
7,502,4
7,547,4
7,607,3
7,677,5
7,704,4
7,713,4
7,872,5
7,878,5
7,908,4
7,918,5
7,950,4
7,1116,5
7,1162,4
7,1180,5
7,1195,2
7,1259,5
7,1270,4
7,1395,4
7,1533,3
7,1630,5
7,1792,5
7,1849,4
8,59,5
8,60,3
8,70,4
8,104,5
8,137,3
8,157,3
8,162,5
8,170,4
8,182,3
8,228,4
8,236,3
8,248,3
8,272,5
8,278,5
8,290,3
8,315,3
8,329,5
8,348,4
8,384,4
8,397,3
8,467,5
8,546,4
8,555,4
8,645,3
8,672,3
8,686,4
8,730,4
8,741,3
8,799,5
8,813,4
8,848,5
8,888,3
8,934,5
8,938,3
8,958,4
8,962,4
8,1017,4
8,1115,5
8,1164,4
8,1174,5
8,1205,2
8,1445,5
8,1479,5
8,1650,3
8,1736,2
8,1776,2
8,1794,4
8,1871,2
9,22,5
9,30,3
9,37,5
9,216,4
9,241,5
9,334,5
9,355,4
9,370,3
9,434,5
9,476,3
9,494,5
9,550,4
9,554,3
9,562,5
9,579,4
9,610,5
9,694,5
9,742,5
9,745,5
9,768,4
9,831,4
9,940,3
9,1050,2
9,1072,4
9,1106,3
9,1143,3
9,1182,5
9,1184,5
9,1186,4
9,1256,5
9,1293,2
9,1379,5
9,1543,4
9,1652,4
9,1953,2
10,7,5
10,52,3
10,59,5
10,68,5
10,73,5
10,81,3
10,90,5
10,117,3
10,119,4
10,161,5
10,178,5
10,187,5
10,194,5
10,241,5
10,272,5
10,278,4
10,326,4
10,329,5
10,369,5
10,421,5
10,445,5
10,509,3
10,580,5
10,635,4
10,658,3
10,738,4
10,743,5
10,754,5
10,801,5
10,802,4
10,898,5
10,955,5
10,1018,3
10,1036,5
10,1048,5
10,1132,2
10,1154,5
10,1169,4
10,1246,5
10,1320,4
10,1451,4
10,1455,4
10,1738,5
11,14,5
11,19,4
11,52,2
11,59,5
11,133,4
11,158,3
11,185,4
11,285,3
11,366,4
11,379,4
11,382,3
11,389,4
11,416,5
11,423,5
11,462,4
11,511,5
11,517,3
11,592,3
11,600,3
11,630,4
11,849,5
11,904,3
11,936,2
11,1055,3
11,1060,3
11,1086,4
11,1092,4
11,1114,4
11,1119,4
11,1250,4
11,1346,4
11,1349,4
11,1421,5
11,1490,4
11,1491,5
11,1548,4
11,1592,3
11,1749,5
11,1869,3
11,1949,5
12,33,4
12,46,4
12,142,5
12,163,4
12,212,4
12,226,4
12,262,3
12,286,3
12,334,4
12,372,5
12,373,4
12,384,4
12,407,3
12,581,2
12,584,2
12,601,4
12,619,5
12,630,3
12,738,3
12,767,5
12,795,4
12,797,4
12,899,4
12,910,5
12,918,5
12,975,3
12,1067,5
12,1073,3
12,1116,5
12,1134,4
12,1137,3
12,1142,4
12,1339,3
12,1397,3
12,1766,3
12,1791,4
12,1935,2
13,0,5
13,8,4
13,77,4
13,118,5
13,153,5
13,154,5
13,195,4
13,203,4
13,285,3
13,296,4
13,303,4
13,316,4
13,387,5
13,399,5
13,414,3
13,429,3
13,459,5
13,479,5
13,561,2
13,725,5
13,764,3
13,783,2
13,799,5
13,915,5
13,958,5
13,990,4
13,1033,4
13,1157,5
13,1557,4
13,1641,4
13,1778,4
13,1814,4
13,1973,4
14,0,5
14,45,5
14,49,4
14,55,5
14,87,4
14,97,3
14,124,4
14,167,3
14,178,5
14,197,3
14,208,4
14,213,3
14,218,3
14,266,3
14,271,3
14,292,3
14,346,5
14,546,3
14,548,3
14,559,2
14,572,3
14,595,3
14,651,2
14,694,4
14,741,3
14,763,5
14,764,3
14,824,4
14,936,1
14,945,5
14,948,3
14,1092,3
14,1139,4
14,1154,4
14,1247,4
14,1354,2
14,1484,3
15,85,5
15,170,3
15,183,4
15,227,4
15,252,4
15,255,4
15,280,4
15,311,4
15,338,3
15,364,3
15,374,2
15,386,5
15,395,3
15,396,4
15,474,5
15,486,4
15,488,4
