userid,movieid,tagid
38,113,72
38,186,-1
38,447,86
38,761,72
38,769,72
38,779,72
38,779,86
38,908,4
38,908,86
38,1180,4
38,1217,147
38,1217,72
38,1329,72
38,1536,4
38,1559,86
38,1795,77
38,1817,135
38,1817,4
38,1912,77
43,0,6
43,0,4
43,0,7
43,412,-1
43,502,14
43,502,51
43,580,4
43,639,14
43,639,4
43,836,51
43,1000,14
43,1000,16
43,1170,14
43,1170,4
43,1363,4
43,1459,4
43,1591,51
43,1605,16
43,1605,4
43,1933,4
43,1957,14
43,1957,4
43,1962,14
58,294,61
58,294,4
58,300,61
58,339,72
58,530,4
58,807,4
58,807,84
58,915,4
58,997,14
58,997,4
58,997,365
58,1016,72
58,1101,-1
58,1431,4
58,1431,15
58,1431,84
58,1432,890
58,1558,4
58,1558,15
58,1558,84
58,1570,-1
58,1633,14
58,1900,150
69,63,51
69,63,56
69,98,14
69,98,16
69,98,0
69,109,61
69,109,14
69,141,14
69,141,56
69,431,61
69,431,14
69,431,51
69,495,14
69,647,51
69,694,61
69,694,14
69,730,61
69,730,16
69,730,14
69,1108,0
69,1108,51
69,1109,-1
69,1111,14
69,1123,16
69,1123,0
69,1224,6
69,1224,51
69,1659,61
106,19,14
106,19,4
106,19,45
106,331,4
106,331,8
106,331,45
106,734,-1
106,781,4
106,781,45
106,781,15
106,801,4
106,822,15
106,832,14
106,867,14
106,867,8
106,938,4
106,938,45
106,938,15
106,938,56
106,1210,12
106,1210,15
106,1538,4
106,1538,45
106,1704,4
106,1704,45
106,1801,14
106,1801,16
106,1801,8
106,1801,56
106,1841,-1
106,2019,14
106,2019,4
106,2019,56
161,14,4
161,14,29
161,380,150
161,380,29
161,458,4
161,609,-1
161,672,4
161,672,18
161,1000,-1
161,1044,4
161,1048,4
161,1048,18
161,1065,4
161,1171,4
161,1171,29
161,1214,4
161,1214,77
161,1447,-1
161,1527,-1
161,1651,77
161,1827,18
174,69,4
174,69,84
174,69,51
174,256,-1
174,398,-1
174,603,69
174,781,4
174,781,18
174,781,15
174,793,51
174,829,6
174,829,4
174,829,88
174,1300,4
174,1300,18
174,1300,84
174,1325,16
174,1325,15
174,1345,16
174,1345,15
174,1366,16
174,1368,6
174,1368,4
174,1783,4
174,1991,16
174,2016,4
174,2016,84
189,13,4
189,13,0
189,13,45
189,79,-1
189,92,4
189,92,45
189,92,0
189,92,115
189,92,27
189,176,4
189,505,-1
189,705,72
189,951,4
189,951,45
189,985,-1
189,1535,18
189,1632,4
189,1632,0
189,1632,45
189,1720,0
189,1727,4
189,1727,0
189,1727,45
189,1839,-1
189,1944,-1
189,1961,-1
190,69,4
190,483,14
190,483,4
190,483,45
190,483,56
190,554,56
190,600,14
190,600,4
190,600,45
190,705,72
190,728,56
190,814,4
190,814,2
190,814,45
190,892,4
190,1142,14
190,1293,14
190,1293,150
190,1325,72
190,1453,4
190,1453,45
190,1476,-1
190,1979,4
190,1979,2
190,1979,45
190,2013,4
192,52,-1
192,81,4
192,310,61
192,310,16
192,332,61
192,332,4
192,332,14
192,392,4
192,392,18
192,616,61
192,616,14
192,616,288
192,836,72
192,1051,14
192,1207,4
192,1311,-1
192,1388,14
192,1443,4
192,1485,14
192,1485,18
192,1739,-1
192,1908,14
192,1908,4
192,1908,18
207,6,4
207,6,45
207,233,-1
207,366,4
207,366,72
207,454,60
207,479,18
207,479,16
207,479,72
207,479,8
207,570,4
207,570,18
207,570,45
207,604,61
207,604,16
207,604,72
207,1299,61
207,1299,4
207,1299,18
207,1299,45
207,1402,16
207,1402,72
207,1473,-1
207,1539,61
207,1642,4
207,1642,45
207,1976,16
207,1976,72
207,1984,4
207,1984,18
207,1984,16
207,1984,72
207,1987,-1
219,58,4
219,58,0
219,167,4
219,167,0
219,510,52
219,615,52
219,645,-1
219,844,14
219,844,327
219,1013,61
219,1108,52
219,1108,0
219,1315,52
219,1458,14
219,1625,52
219,1753,52
219,1753,4
219,1867,14
219,1905,61
219,1905,4
219,1943,1069
231,70,14
231,70,4
231,149,14
231,149,471
231,255,-1
231,357,6
231,357,4
231,400,4
231,599,14
231,599,4
231,599,318
231,799,4
231,823,14
231,823,16
231,942,14
231,942,4
231,1043,4
231,1052,4
231,1183,4
231,1183,94
231,1388,14
231,1443,4
231,1792,14
245,106,-1
245,247,135
245,247,150
245,247,45
245,286,61
245,343,135
245,343,45
245,357,6
245,357,84
245,357,29
245,629,51
245,716,61
245,716,45
245,1196,-1
245,1224,6
245,1224,45
245,1224,51
245,1354,45
245,1592,-1
245,1692,6
245,1901,61
245,1936,150
245,1936,206
245,1938,29
251,423,4
251,423,0
251,423,45
251,480,4
251,480,8
251,480,45
251,480,29
251,530,4
251,530,0
251,530,45
251,635,4
251,635,72
251,635,45
251,646,4
251,901,0
251,932,12
251,1071,72
251,1075,4
251,1161,12
251,1367,4
251,1367,45
251,1559,84
251,1591,-1
251,1703,4
251,1703,45
251,1703,84
251,1703,29
251,2008,4
251,2008,0
251,2008,45
251,2008,84
252,45,69
252,61,0
252,61,4
252,61,18
252,61,45
252,186,-1
252,335,4
252,335,0
252,335,45
252,571,4
252,571,18
252,571,0
252,802,0
252,802,4
252,802,18
252,802,45
252,841,0
252,1161,12
252,1161,13
